150100,120,飞机场
150200,110,火车站
110105,109,城市广场
110202,108,国家景点
150500,101,地铁站 
150600,100,轻轨站
060101,090,购物中心
110203,080,省级景点
120201,075,商务写字楼
141201,070,高等学校 
150700,060,公交站相关
150702,060,普通公交站
150800,060,班车站
150701,058,旅游专线
170200,050,公司
130000,040,社区
090100,030,综合医院
090101,029,三级甲等医院
090000,028,医疗保健服务
